	sequence_id	assignment	confidence_score
0	EU596497	1	0.7684619783512251
1	MH822952	1	0.8767270052757284
2	JN851126	1	0.8767270052757284
3	KY586577	1	0.8767270052757284
4	FJ024461	1	0.8767270052757284
5	GU131901	1	0.8767270052757284
6	KY586612	1	0.8767270052757284
7	KX380807	1	0.8767270052757284
8	KY672946	1	0.8767270052757284
9	HQ012535	1	0.7684619783512251
10	KX452020	1	0.8767270052757284
11	FJ461305	1	0.8767270052757284
12	KM279537	1	0.8767270052757284
13	KY586614	1	0.8767270052757284
14	MN589877	1	0.7684619783512251
15	MN018348	1	0.8767270052757284
16	MH110568	1	0.8767270052757284
17	AF022435	1	0.8767270052757284
18	FM210208	1	0.7684619783512251
19	MF156233	1	0.8767270052757284
20	KY586696	1	0.8767270052757284
21	EU920832	1	0.7684619783512251
22	EU482582	1	0.7684619783512251
23	FM210231	1	0.8767270052757284
24	HM582117	1	0.8767270052757284
25	EU920845	1	0.7684619783512251
26	EU482685	1	0.7684619783512251
27	KC762673	1	0.8767270052757284
28	EU920830	1	0.7684619783512251
29	EU920838	1	0.7684619783512251
30	MH110570	1	0.8767270052757284
31	EU482684	1	0.7684619783512251
32	MT261967	1	0.8767270052757284
33	GQ868625	1	0.8767270052757284
34	KR779786	1	0.8767270052757284
35	GQ398293	1	0.7684619783512251
36	MH827552	1	0.8767270052757284
37	GQ199895	1	0.7684619783512251
38	EU482542	1	0.8767270052757284
39	KY586661	1	0.8767270052757284
40	MN589868	1	0.7684619783512251
41	MK411559	1	0.8767270052757284
42	KM279542	1	0.8767270052757284
43	FJ898432	1	0.7684619783512251
44	MT261959	1	0.8767270052757284
45	KX452045	1	0.8767270052757284
46	EU482744	1	0.7684619783512251
47	EF105380	1	0.8767270052757284
48	FM210230	1	0.7684619783512251
49	JF730051	1	0.7684619783512251
50	KX380826	1	0.8767270052757284
51	FJ639809	1	0.7684619783512251
52	EU660414	1	0.8767270052757284
53	GQ398259	1	0.8767270052757284
54	EU482723	1	0.7684619783512251
55	EU482691	1	0.7684619783512251
56	EU482571	1	0.7684619783512251
57	EU482775	1	0.8767270052757284
58	EU482773	1	0.7684619783512251
59	GQ868549	1	0.7684619783512251
60	EU482637	1	0.7684619783512251
61	MH827549	1	0.8767270052757284
62	MH110582	1	0.8767270052757284
63	EU660404	1	0.7684619783512251
64	MN589858	1	0.7684619783512251
65	KM279584	1	0.8767270052757284
66	MK411558	1	0.8767270052757284
67	HM181971	1	0.7684619783512251
68	FJ873811	1	0.8767270052757284
69	GQ868640	1	0.7684619783512251
70	GU131928	1	0.8767270052757284
71	KX380827	1	0.8767270052757284
72	FJ744710	1	0.8767270052757284
73	EU569711	1	0.7684619783512251
74	EU482777	1	0.8767270052757284
75	GQ398280	1	0.7684619783512251
76	KX452041	1	0.8767270052757284
77	EU482670	1	0.8767270052757284
78	MN589884	1	0.7684619783512251
79	KY586549	1	0.8767270052757284
80	GQ868592	1	0.8767270052757284
81	EU482738	1	0.7684619783512251
82	KY474316	1	0.7684619783512251
83	HQ634199	1	0.7684619783512251
84	EU482743	1	0.7684619783512251
85	KY474324	1	0.7684619783512251
86	FJ859028	1	0.8767270052757284
87	AF100465	1	0.8767270052757284
88	FJ024474	1	0.7684619783512251
89	EU482588	1	0.7684619783512251
90	MF156235	1	0.8767270052757284
91	KY586594	1	0.8767270052757284
92	EU482779	1	0.7684619783512251
93	FJ390387	1	0.8767270052757284
94	FJ744703	1	0.7684619783512251
95	EU482620	1	0.7684619783512251
96	KY474318	1	0.7684619783512251
97	AF169688	1	0.8767270052757284
98	MH822941	1	0.8767270052757284
99	JX669487	1	0.7684619783512251
100	KM279519	1	0.8767270052757284
101	KU509270	1	0.8767270052757284
102	FJ410219	1	0.8767270052757284
103	KX452025	1	0.8767270052757284
104	FJ373300	1	0.7684619783512251
105	FJ410291	1	0.7684619783512251
106	MH822946	1	0.8767270052757284
107	GU131932	1	0.8767270052757284
108	FJ850085	1	0.7684619783512251
109	MG599600	1	0.8767270052757284
110	GU131879	1	0.7684619783512251
111	KT187556	1	0.8767270052757284
112	KY586556	1	0.8767270052757284
113	KY474327	1	0.7684619783512251
114	EU482549	1	0.7684619783512251
115	JN851128	1	0.8767270052757284
116	FM210214	1	0.8767270052757284
117	MN923122	1	0.8767270052757284
118	EU677143	1	0.7684619783512251
119	EU179859	1	0.8767270052757284
120	GQ868622	1	0.8767270052757284
121	KY586681	1	0.8767270052757284
122	GU131864	1	0.7684619783512251
123	MN018365	1	0.8767270052757284
124	EU482674	1	0.8767270052757284
125	FJ744708	1	0.7684619783512251
126	KF955373	1	0.7684619783512251
127	KY586693	1	0.8767270052757284
128	GQ398263	1	0.8767270052757284
129	GQ199896	1	0.7684619783512251
130	MF156240	1	0.8767270052757284
131	MK517773	1	0.7684619783512251
132	EU482772	1	0.7684619783512251
133	EU482701	1	0.8767270052757284
134	EU569693	1	0.7684619783512251
135	EU569712	1	0.7684619783512251
136	KX380829	1	0.8767270052757284
137	KY937187	1	0.8767270052757284
138	MN018352	1	0.8767270052757284
139	KY586668	1	0.8767270052757284
140	JF357906	1	0.7684619783512251
141	GQ398313	1	0.7684619783512251
142	EU482447	1	0.8767270052757284
143	EU687250	1	0.8767270052757284
144	U87411	1	0.8767270052757284
145	KY586566	1	0.8767270052757284
146	FJ850076	1	0.7684619783512251
147	EU569705	1	0.7684619783512251
148	KY586674	1	0.8767270052757284
149	EU482722	1	0.7684619783512251
150	KM279590	1	0.8767270052757284
151	MG779202	1	0.8767270052757284
152	KY586677	1	0.8767270052757284
153	KM279608	1	0.8767270052757284
154	KT187554	1	0.8767270052757284
155	FJ639733	1	0.7684619783512251
156	FJ898434	1	0.7684619783512251
157	FJ410237	1	0.8767270052757284
158	GU131883	1	0.7684619783512251
159	KX621245	1	0.8767270052757284
160	FJ898454	1	0.8767270052757284
161	EU482648	1	0.7684619783512251
162	FM210228	1	0.7684619783512251
163	EU482784	1	0.8767270052757284
164	KY586562	1	0.8767270052757284
165	JX286522	1	0.7684619783512251
166	GU370050	1	0.8767270052757284
167	MH110588	1	0.8767270052757284
168	KY586635	1	0.8767270052757284
169	EU482690	1	0.7684619783512251
170	GQ868550	1	0.7684619783512251
171	EU569707	1	0.7684619783512251
172	EU056810	1	0.8767270052757284
173	JF730055	1	0.8767270052757284
174	MN923112	1	0.8767270052757284
175	KX452042	1	0.8767270052757284
176	MF940250	1	0.8767270052757284
177	GQ398276	1	0.7684619783512251
178	DQ448231	1	0.8767270052757284
179	HM488257	1	0.8767270052757284
180	KJ189310	1	0.7684619783512251
181	MH069499	1	0.7684619783512251
182	FJ850118	1	0.7684619783512251
183	MH822953	1	0.8767270052757284
184	KF041232	1	0.8767270052757284
185	KJ701507	1	0.8767270052757284
186	HM582112	1	0.8767270052757284
187	EU482740	1	0.7684619783512251
188	GQ868556	1	0.7684619783512251
189	EU482449	1	0.7684619783512251
190	AF022439	1	0.8767270052757284
191	KC762662	1	0.8767270052757284
192	GQ868624	1	0.8767270052757284
193	EF457904	1	0.8767270052757284
194	KX380837	1	0.8767270052757284
195	EU920850	1	0.7684619783512251
196	FJ744714	1	0.8767270052757284
197	EU660415	1	0.8767270052757284
198	EU482704	1	0.8767270052757284
199	GQ398274	1	0.7684619783512251
200	KC294201	1	0.7684619783512251
201	MG599610	1	0.8767270052757284
202	MG599607	1	0.8767270052757284
203	KY586603	1	0.8767270052757284
204	GU131902	1	0.8767270052757284
205	GQ398264	1	0.8767270052757284
206	GQ398311	1	0.7684619783512251
207	KM279556	1	0.8767270052757284
208	KC294208	1	0.7684619783512251
209	EU920831	1	0.7684619783512251
210	MN923108	1	0.8767270052757284
211	MG599612	1	0.8767270052757284
212	AB122021	1	0.7684619783512251
213	KY586618	1	0.8767270052757284
214	AF022440	1	0.8767270052757284
215	MN018353	1	0.8767270052757284
216	DQ181799	1	0.8767270052757284
217	KY586643	1	0.8767270052757284
218	JQ922551	1	0.8767270052757284
219	DQ645543	1	0.8767270052757284
220	GQ398284	1	0.7684619783512251
221	KX452028	1	0.8767270052757284
222	FJ024473	1	0.7684619783512251
223	FJ182012	1	0.7684619783512251
224	GQ398310	1	0.7684619783512251
225	MH822950	1	0.8767270052757284
226	EU920836	1	0.7684619783512251
227	KY937189	1	0.8767270052757284
228	JQ922549	1	0.8767270052757284
229	MK564477	1	0.8767270052757284
230	AB479042	1	0.7684619783512251
231	MG599632	1	0.8767270052757284
232	FJ461311	1	0.8767270052757284
233	MH827526	1	0.8767270052757284
234	KY586645	1	0.8767270052757284
235	FJ906958	1	0.8767270052757284
236	EU482556	1	0.7684619783512251
237	EU482695	1	0.7684619783512251
238	JN851114	1	0.8767270052757284
239	JN851120	1	0.8767270052757284
240	MG599595	1	0.8767270052757284
241	FM210238	1	0.7684619783512251
242	GQ398272	1	0.7684619783512251
243	JX079694	1	0.7684619783512251
244	MH069495	1	0.7684619783512251
245	KP188556	1	0.7684619783512251
246	MH891772	1	0.8767270052757284
247	EU482739	1	0.7684619783512251
248	HM582107	1	0.8767270052757284
249	FJ687434	1	0.8767270052757284
250	AB122020	1	0.7684619783512251
251	JN851122	1	0.8767270052757284
252	LC129171	1	0.8767270052757284
253	HM582099	1	0.8767270052757284
254	EU482721	1	0.7684619783512251
255	KY586606	1	0.8767270052757284
256	KM279582	1	0.8767270052757284
257	GQ398306	1	0.7684619783512251
258	EU596483	1	0.7684619783512251
259	EU854293	1	0.8767270052757284
260	EU687229	1	0.7684619783512251
261	EU482763	1	0.7684619783512251
262	EU596496	1	0.7684619783512251
263	EU482583	1	0.7684619783512251
264	MH110564	1	0.8767270052757284
265	GQ398289	1	0.7684619783512251
266	KY586576	1	0.8767270052757284
267	MH110595	1	0.8767270052757284
268	EU482581	1	0.7684619783512251
269	KC762672	1	0.8767270052757284
270	FM210236	1	0.7684619783512251
271	MF940251	1	0.8767270052757284
272	FJ182014	1	0.7684619783512251
273	EU482445	1	0.8767270052757284
274	JQ045676	1	0.8767270052757284
275	KY586682	1	0.8767270052757284
276	MN589867	1	0.7684619783512251
277	EU482696	1	0.7684619783512251
278	MH110589	1	0.8767270052757284
279	KY586617	1	0.8767270052757284
280	EU920844	1	0.7684619783512251
281	MG599623	1	0.8767270052757284
282	KX452035	1	0.8767270052757284
283	HM582113	1	0.8767270052757284
284	EU482746	1	0.7684619783512251
285	FJ898438	1	0.7684619783512251
286	GQ868553	1	0.7684619783512251
287	HQ541788	1	0.7684619783512251
288	MF940247	1	0.8767270052757284
289	HQ332190	1	0.7684619783512251
290	EU482694	1	0.7684619783512251
291	MF156234	1	0.8767270052757284
292	GQ199898	1	0.7684619783512251
293	FJ390390	1	0.7684619783512251
294	KY672954	1	0.8767270052757284
295	KC294209	1	0.7684619783512251
296	FJ639834	1	0.7684619783512251
297	JN851123	1	0.8767270052757284
298	EU359009	1	0.8767270052757284
299	FJ850078	1	0.7684619783512251
300	KF041235	1	0.8767270052757284
301	FJ639710	1	0.8767270052757284
302	GQ199894	1	0.7684619783512251
303	KC294213	1	0.7684619783512251
304	EU569701	1	0.7684619783512251
305	FM210245	1	0.8767270052757284
306	KY474330	1	0.7684619783512251
307	GQ398258	1	0.8767270052757284
308	KY586560	1	0.8767270052757284
309	JF730044	1	0.7684619783512251
310	MH215277	1	0.7684619783512251
311	KY849760	1	0.8767270052757284
312	JF260983	1	0.8767270052757284
313	KF041233	1	0.8767270052757284
314	EU482788	1	0.7684619783512251
315	EU482753	1	0.7684619783512251
316	MH048672	1	0.8767270052757284
317	EU660416	1	0.8767270052757284
318	JN819420	1	0.7684619783512251
319	KC294219	1	0.7684619783512251
320	JX286524	1	0.7684619783512251
321	KC762676	1	0.8767270052757284
322	AF100468	1	0.8767270052757284
323	MG779197	1	0.8767270052757284
324	EU687246	1	0.8767270052757284
325	FJ810412	1	0.8767270052757284
326	DQ645552	1	0.8767270052757284
327	MT261956	1	0.8767270052757284
328	FJ639828	1	0.8767270052757284
329	KC294214	1	0.7684619783512251
330	KY586648	1	0.8767270052757284
331	GQ868497	1	0.7684619783512251
332	EU596488	1	0.7684619783512251
333	EU687248	1	0.8767270052757284
334	MT261971	1	0.8767270052757284
335	MH110567	1	0.8767270052757284
336	GQ252677	1	0.8767270052757284
337	EU482578	1	0.7684619783512251
338	KM279557	1	0.8767270052757284
339	MH110585	1	0.8767270052757284
340	JF730046	1	0.8767270052757284
341	FJ850064	1	0.7684619783512251
342	EU596495	1	0.7684619783512251
343	MG599606	1	0.8767270052757284
344	KY672945	1	0.8767270052757284
345	EU482748	1	0.7684619783512251
346	EU482641	1	0.8767270052757284
347	JN851116	1	0.8767270052757284
348	EU482605	1	0.7684619783512251
349	KY923048	1	0.8767270052757284
350	EU920828	1	0.7684619783512251
351	KU365902	1	0.8767270052757284
352	KC762677	1	0.8767270052757284
353	AF119661	1	0.7684619783512251
354	KM279579	1	0.8767270052757284
355	HQ999999	1	0.7684619783512251
356	MN018360	1	0.8767270052757284
357	EU482754	1	0.7684619783512251
358	KY474310	1	0.7684619783512251
359	MG779200	1	0.8767270052757284
360	FM210242	1	0.8767270052757284
361	KF744407	1	0.8767270052757284
362	MH822943	1	0.8767270052757284
363	FM210241	1	0.7684619783512251
364	KX380818	1	0.8767270052757284
365	GQ868516	1	0.7684619783512251
366	MN018364	1	0.8767270052757284
367	GQ868542	1	0.8767270052757284
368	KX380815	1	0.8767270052757284
369	AF100461	1	0.8767270052757284
370	FJ898477	1	0.7684619783512251
371	GQ398288	1	0.7684619783512251
372	FJ639698	1	0.7684619783512251
373	MF940240	1	0.8767270052757284
374	KY474313	1	0.7684619783512251
375	KM279605	1	0.8767270052757284
376	FJ547067	1	0.8767270052757284
377	FM210215	1	0.8767270052757284
378	FJ461309	1	0.8767270052757284
379	MH827531	1	0.8767270052757284
380	FJ639835	1	0.7684619783512251
381	JN851113	1	0.8767270052757284
382	AF169686	1	0.8767270052757284
383	EU482693	1	0.7684619783512251
384	EU482652	1	0.8767270052757284
385	FJ906968	1	0.8767270052757284
386	HQ733861	1	0.7684619783512251
387	AF169679	1	0.8767270052757284
388	KY586599	1	0.8767270052757284
389	EU596490	1	0.7684619783512251
390	MN923121	1	0.8767270052757284
391	KM279610	1	0.8767270052757284
392	MG599615	1	0.8767270052757284
393	FM210221	1	0.7684619783512251
394	AY702037	1	0.7684619783512251
395	EU482565	1	0.7684619783512251
396	LC410184	1	0.8767270052757284
397	KX452040	1	0.8767270052757284
398	AF169687	1	0.8767270052757284
399	KM279566	1	0.8767270052757284
400	FJ810418	1	0.7684619783512251
401	MG721058	1	0.8767270052757284
402	MG599593	1	0.8767270052757284
403	KM279574	1	0.8767270052757284
404	KF041234	1	0.8767270052757284
405	JX669488	1	0.7684619783512251
406	KF744400	1	0.8767270052757284
407	MT261960	1	0.8767270052757284
408	FJ196854	1	0.8767270052757284
409	JQ045664	2	0.8912647110909437
410	MF033221	2	0.8912647110909437
411	FJ898419	2	0.8912647110909437
412	JQ045634	2	0.8912647110909437
413	FJ205876	2	0.8912647110909437
414	MN018307	2	0.8912647110909437
415	KJ189361	2	0.5050611494445711
416	MN018311	2	0.8912647110909437
417	KY586396	2	0.8912647110909437
418	KX225483	2	0.5050611494445711
419	KY586509	2	0.8912647110909437
420	JQ045639	2	0.8912647110909437
421	KY586425	2	0.8912647110909437
422	FJ024427	2	0.8912647110909437
423	EU482817	2	0.8912647110909437
424	GU131724	2	0.8912647110909437
425	GU131738	2	0.8912647110909437
426	GU131686	2	0.8912647110909437
427	MF033233	2	0.8912647110909437
428	GQ868614	2	0.8912647110909437
429	FJ639796	2	0.5050611494445711
430	EU482483	2	0.8912647110909437
431	FJ432745	2	0.8912647110909437
432	MN912112	2	0.8912647110909437
433	FJ898377	2	0.8912647110909437
434	JQ915075	2	0.6779813430897812
435	EU081255	2	0.8912647110909437
436	EU081232	2	0.8912647110909437
437	KM403591	2	0.5050611494445711
438	FJ432746	2	0.8912647110909437
439	KC762654	2	0.8912647110909437
440	KY586497	2	0.8912647110909437
441	MN933662	2	0.5050611494445711
442	KY586456	2	0.8912647110909437
443	GQ868608	2	0.8912647110909437
444	KY586519	2	0.8912647110909437
445	EU482707	2	0.8912647110909437
446	FJ850069	2	0.8912647110909437
447	MN912215	2	0.8912647110909437
448	FJ882565	2	0.8912647110909437
449	KY586326	2	0.8912647110909437
450	GQ199799	2	0.8912647110909437
451	KM403617	2	0.5050611494445711
452	MN018304	2	0.8912647110909437
453	KJ189303	2	0.5050611494445711
454	MN912163	2	0.8912647110909437
455	GQ868630	2	0.8912647110909437
456	GU131723	2	0.8912647110909437
457	FJ410207	2	0.8912647110909437
458	JX669468	2	0.5050611494445711
459	EU482616	2	0.5050611494445711
460	GU131786	2	0.8912647110909437
461	FJ850087	2	0.6779813430897812
462	GU131771	2	0.8912647110909437
463	KF973453	2	0.5050611494445711
464	EU482814	2	0.8912647110909437
465	JF937609	2	0.8912647110909437
466	JF960211	2	0.5050611494445711
467	EU677168	2	0.8912647110909437
468	AB608787	2	0.8912647110909437
469	KP723473	2	0.5050611494445711
470	KY586306	2	0.8912647110909437
471	EU081268	2	0.8912647110909437
472	KJ189353	2	0.5050611494445711
473	MN018317	2	0.8912647110909437
474	EU482519	2	0.8912647110909437
475	GQ199786	2	0.8912647110909437
476	KY586535	2	0.8912647110909437
477	GQ868521	2	0.5050611494445711
478	MN018323	2	0.8912647110909437
479	FJ639679	2	0.8912647110909437
480	FJ882551	2	0.8912647110909437
481	EU249493	2	0.8912647110909437
482	GU131802	2	0.8912647110909437
483	KY849734	2	0.8912647110909437
484	AF311958	2	0.5050611494445711
485	AY726551	2	0.8912647110909437
486	U88535	2	0.6779813430897812
487	MN912110	2	0.8912647110909437
488	GQ868533	2	0.5050611494445711
489	GQ199789	2	0.8912647110909437
490	EU280167	2	0.8912647110909437
491	FJ687431	2	0.8912647110909437
492	EU482487	2	0.8912647110909437
493	EU081246	2	0.8912647110909437
494	FJ639823	2	0.5050611494445711
495	GU131701	2	0.8912647110909437
496	FJ882570	2	0.8912647110909437
497	KJ189358	2	0.5050611494445711
498	MN923100	2	0.8912647110909437
499	KY586344	2	0.8912647110909437
500	GU131795	2	0.8912647110909437
501	LC428059	2	0.8912647110909437
502	JX669463	2	0.5050611494445711
503	KY586450	2	0.8912647110909437
504	AB074760	2	0.6779813430897812
505	FJ898424	2	0.8912647110909437
506	KX225488	2	0.8912647110909437
507	GQ868525	2	0.5050611494445711
508	GU131984	2	0.5050611494445711
509	EU482800	2	0.8912647110909437
510	KY586388	2	0.8912647110909437
511	KY849701	2	0.8912647110909437
512	KJ189307	2	0.5050611494445711
513	GQ199771	2	0.8912647110909437
514	GU131981	2	0.5050611494445711
515	FJ024426	2	0.8912647110909437
516	FJ882546	2	0.8912647110909437
517	MF033213	2	0.5050611494445711
518	MN018313	2	0.8912647110909437
519	KY586494	2	0.8912647110909437
520	FJ898376	2	0.8912647110909437
521	KY586383	2	0.8912647110909437
522	MN912222	2	0.8912647110909437
523	GQ199853	2	0.8912647110909437
524	EU081270	2	0.8912647110909437
525	HM181954	2	0.8912647110909437
526	MN912166	2	0.8912647110909437
527	KJ806939	2	0.6779813430897812
528	GU131969	2	0.5050611494445711
529	KJ806946	2	0.8912647110909437
530	JN544409	2	0.5050611494445711
531	GU131706	2	0.8912647110909437
532	FJ882519	2	0.8912647110909437
533	GQ199821	2	0.8912647110909437
534	LC335871	2	0.8912647110909437
535	MN018328	2	0.5050611494445711
536	HM181948	2	0.8912647110909437
537	FJ410189	2	0.5050611494445711
538	JN819417	2	0.6779813430897812
539	DQ672559	2	0.6779813430897812
540	MN912171	2	0.8912647110909437
541	FJ639806	2	0.5050611494445711
542	KY586508	2	0.8912647110909437
543	GU131734	2	0.8912647110909437
544	KY586386	2	0.8912647110909437
545	FJ898410	2	0.8912647110909437
546	KP772252	2	0.8912647110909437
547	FJ639693	2	0.8912647110909437
548	FJ390383	2	0.8912647110909437
549	KY586329	2	0.8912647110909437
550	GU131781	2	0.8912647110909437
551	EU081240	2	0.8912647110909437
552	MH450297	2	0.5050611494445711
553	MN018336	2	0.8912647110909437
554	FJ810415	2	0.5050611494445711
555	AF514889	2	0.5050611494445711
556	KX620454	2	0.8912647110909437
557	MN912134	2	0.8912647110909437
558	MF033242	2	0.5050611494445711
559	KY586398	2	0.8912647110909437
560	KY672944	2	0.5050611494445711
561	KF955416	2	0.5050611494445711
562	FJ373297	2	0.8912647110909437
563	GQ868537	2	0.5050611494445711
564	JF937649	2	0.8912647110909437
565	GQ199877	2	0.5050611494445711
566	AF513110	2	0.5050611494445711
567	JX669461	2	0.6779813430897812
568	EU677164	2	0.8912647110909437
569	FJ024450	2	0.8912647110909437
570	KF973473	2	0.5050611494445711
571	EU081265	2	0.8912647110909437
572	KM403621	2	0.5050611494445711
573	KY849727	2	0.8912647110909437
574	KY586513	2	0.8912647110909437
575	KM403593	2	0.5050611494445711
576	FJ639812	2	0.5050611494445711
577	GU131776	2	0.8912647110909437
578	MG679801	2	0.8912647110909437
579	EU482708	2	0.8912647110909437
580	FJ182025	2	0.8912647110909437
581	KT827374	2	0.5050611494445711
582	GU131839	2	0.5050611494445711
583	MN933666	2	0.8912647110909437
584	EU482818	2	0.8912647110909437
585	EU677171	2	0.8912647110909437
586	MF033197	2	0.6779813430897812
587	FJ182034	2	0.8912647110909437
588	FJ410240	2	0.8912647110909437
589	KY586426	2	0.8912647110909437
590	FJ410272	2	0.8912647110909437
591	FJ410286	2	0.8912647110909437
592	FJ410270	2	0.8912647110909437
593	EU482805	2	0.8912647110909437
594	FJ882554	2	0.8912647110909437
595	MG840540	2	0.5050611494445711
596	JF937602	2	0.8912647110909437
597	FJ898448	2	0.6779813430897812
598	MN923104	2	0.8912647110909437
599	FJ461306	2	0.8912647110909437
600	LC428063	2	0.8912647110909437
601	GQ199841	2	0.8912647110909437
602	KF971869	2	0.8912647110909437
603	KY849737	2	0.8912647110909437
604	FJ205883	2	0.8912647110909437
605	GU131811	2	0.8912647110909437
606	AY732483	2	0.6779813430897812
607	U88536	2	0.6779813430897812
608	MF033252	2	0.5050611494445711
609	GQ199798	2	0.8912647110909437
