	Value
Davies-Boulding	0.9804561423674482
Silhouette-Score	0.5331601229442805
NMI	0.9430297308898663
ARI	0.9173904698942806
Homogeneity	0.9999999999999999
Completeness	0.8924567108110852
ACC	0.90263319044703
